rule,src_ip,timestamp,message
Threat Intel Match,147.161.161.82,2024-04-25 23:00:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-25 23:00:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-25 23:10:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-25 23:20:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-25 23:40:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-25 23:50:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 00:00:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 00:00:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 00:10:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 00:20:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 00:30:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 00:40:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 00:50:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 01:00:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 01:20:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 01:30:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 01:40:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 01:50:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 08:20:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 08:30:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 08:50:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 08:50:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 09:00:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 09:10:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 09:20:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 09:30:00+00:00,Known malicious IP detected
Threat Intel Match,165.225.33.6,2024-04-26 09:40:00+00:00,Known malicious IP detected
Threat Intel Match,147.161.161.82,2024-04-26 09:40:00+00:00,Known malicious IP detected
