Behaviour,DNA,Count
"From United States, at 08:50:AM, accessed port 443.0, recieved more data in than sent out",57294bab4e387813c9f3c3b2d0fc72c892d484f8696e99cb80841dcd72458353,7
"From United States, at 09:00:AM, accessed port 443.0, sent more data out than recieved",f014ac80527e8e29f19af99244c23577845ffebb9b4f8b51be7ffc263506ee63,7
"From United States, at 09:00:AM, accessed port 443.0, recieved more data in than sent out",95e4f2e67086a7ad632ec42a4533ec8db373e81ae266cf87763c864f886faa6c,5
"From United States, at 01:40:AM, accessed port 443.0, sent more data out than recieved",0183aaaebf72fcc4a7d9be8e4613f1817328c5da54d4c732460f97f2be519a0e,4
"From United States, at 08:20:AM, accessed port 443.0, recieved more data in than sent out",19ca2fa13b26cb71c38788253ff0318f21f579ffec9b29a2fcc5063e07b19c6a,4
"From United States, at 12:10:AM, accessed port 443.0, recieved more data in than sent out",a760a1740d3ad7a95fa00af6a8b899299ad79b7c00468842a91e7cf8d1bcfabe,3
"From United States, at 11:10:PM, accessed port 443.0, recieved more data in than sent out",a469d902c6c1c1d9c14908e74bd3144bd3326d0f5de8a0ab6483d3b43831a195,3
"From United States, at 11:20:PM, accessed port 443.0, sent more data out than recieved",870be20c2d0627cdbdff8df89d844270463bf96f36499ad3f15c287b4b3987e7,3
"From Canada, at 01:40:AM, accessed port 443.0, recieved more data in than sent out",8720294d78d3fe88995c4492a19702447be191de327991628c85aabf7abcc553,3
"From United States, at 12:40:AM, accessed port 443.0, recieved more data in than sent out",ab246e339164227f85cd89f51ff301e483d299736a898a5f70df3e726af2739d,3
"From United States, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",856f711f6f4d6b800eeee46285089d8721ee969955e534dae6fad99968701728,3
"From United States, at 11:20:PM, accessed port 443.0, recieved more data in than sent out",026b8334c85198a851e5497887a75795df53b51913311b29c24f2d32da2512e5,3
"From United States, at 09:40:AM, accessed port 443.0, sent more data out than recieved",d171d735290bfce6da14c857d233ec8b8dd0f8f8502dd85fa1d012d82ecfa311,3
"From United States, at 11:50:PM, accessed port 443.0, recieved more data in than sent out",fbcdcb9d1bf2c8df4944301a72851f421ef08d7127ab04048b1494afce4d72b8,3
"From United States, at 08:00:AM, accessed port 443.0, recieved more data in than sent out",fead4c414ecd241afeeb64e4aece4de841d93e479cba154f84379dbe419f944b,3
"From Canada, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",4388f414d9e4b7292db92101a8b977e2fa73c59da452efa3955261fdda969933,2
"From Canada, at 12:20:AM, accessed port 443.0, recieved more data in than sent out",3b252e335adf226c254259700fe7ba3f75aaa3028d4a018a709007b0db81c0f3,2
"From Canada, at 08:30:AM, accessed port 443.0, sent more data out than recieved",4b96bf7fc02383a6d04ff3c487a3426e19a3a141a1e988cf17f6a41594ceb078,2
"From United States, at 09:50:AM, accessed port 443.0, sent more data out than recieved",502aed0c09af250354647e3cbf5bda5da97b5654ffbe104f46f737419084eb49,2
"From United States, at 01:20:AM, accessed port 443.0, recieved more data in than sent out",4b707f1c5b9dabc1aaa01a4fdc251a194c1379c2e4009c4e7a7c1cc76a840f49,2
"From Canada, at 08:10:AM, accessed port 443.0, recieved more data in than sent out",ddac2294e3cb62a18dee47663a40fb8f842b1a9d5c2d1bbbc8e2c4727c26f23f,2
"From United States, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",d88c8eef4b1769a8dc09665877200c8f1f39986cfcf5d7573139bd95f87e8635,2
"From United States, at 08:40:AM, accessed port 443.0, recieved more data in than sent out",d71c5ee6bbf5e6cf52156076804369207b328143bf5c9345d5be1e2e1ce317c3,2
"From Canada, at 11:10:PM, accessed port 443.0, sent more data out than recieved",dccead32ce1302d475504d0be91bf8f864fdb716a9f8cc86360d414ce0966f8c,2
"From United States, at 12:50:AM, accessed port 443.0, recieved more data in than sent out",e42ef3a5023cf8e2a4e88e86a0b21ab05dbd266725309bdb7423634104bc7977,2
"From Canada, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",f9b374c3b875f429a18f9d9dae39df7c88e868f8e70f90a74f40a2d3d5694c7b,2
"From Canada, at 01:00:AM, accessed port 443.0, recieved more data in than sent out",9ad40f55515f6fbe431bd5ff964773dc7f7efa96ffc664a5b17ff76923964040,2
"From United States, at 01:30:AM, accessed port 443.0, recieved more data in than sent out",a085b137311313800f4c8aead4624e671a307dde8604f0a1f5da2cc4b54b0b7c,2
"From Canada, at 01:20:AM, accessed port 443.0, recieved more data in than sent out",60f61fbab22f96a47e880717f8185baf23c619f63f9e5134b95e1d0dc9811e29,2
